Frequency (Hz),Occupancy (%),File Info
1215000000,0,File Name:                      pro_9_1_000002_230411_0101_OC
1215250000,0,File Type:                      Statistic Data
1215500000,0,Write Access:                   TRUE
1215750000,0,Records:849
1216000000,0,Created At:                     2023-04-26 11:38:17
1216250000,0,Modified At:                    2023-04-26 11:38:17
1216500000,0,"Column Names:                   Frequency ,Occupancy"
1216750000,0,Size:                           1 kB
1217000000,0,User:                           demo
1217250000,0,User Group:                     rohdeandschwarz
1217500000,0,Measurement Type:               EMF_MEAS
1217750000,0,Measurement Unit:               NMA-1
1218000000,0,Control Unit:                   NMA-1
1218250000,0,Minimum Frequency:              1.922500000 GHz
1218500000,0,Maximum Frequency:              2.167500000 GHz
1218750000,0,Source:                         
1219000000,0,  Measurement Result:           pro_9_1_000002_230411_0101
1219250000,0,  Measurement Unit:             NMA-1
1219500000,0,Statistic:                      
1219750000,0,  Type of statistic:            Frequency Band Occupancy
1220000000,0,  Minimum Frequency:            1922500000 Hz
1220250000,0,  Maximum Frequency:            2167500000 Hz
1220500000,0,  Meas. Parameter:              Level   
1220750000,0,  Threshold:                    65.0 dBµV/m
1221000000,0,
1221250000,0,
1221500000,0,
1221750000,0,
1222000000,0,
1222250000,0,
1222500000,0,
1222750000,0,
1223000000,0,
1223250000,0,
1223500000,0,
1223750000,0,
1224000000,0,
1224250000,0,
1224500000,0,
1224750000,0,
1225000000,0,
1225250000,0,
1225500000,0,
1225750000,0,
1226000000,0,
1226250000,0,
1226500000,0,
1226750000,0,
1227000000,0,
1227250000,0,
1227500000,0,
1227750000,0,
1228000000,0,
1228250000,0,
1228500000,0,
1228750000,0,
1229000000,0,
1229250000,0,
1229500000,0,
1229750000,0,
1230000000,0,
1230250000,0,
1230500000,0,
1230750000,0,
1231000000,0,
1231250000,0,
1231500000,0,
1231750000,0,
1232000000,0,
1232250000,0,
1232500000,0,
1232750000,0,
1233000000,0,
1233250000,0,
1233500000,0,
1233750000,0,
1234000000,0,
1234250000,0,
1234500000,0,
1234750000,0,
